,Hotel_name,Location,Price,Discount,Rating
0,Capital O 80951 Hotel Radisson Suite,"India, Mumbai",2819,65%,104
1,OYO SilverKey Hotel Manas Residency,"Chembur East, Mumbai",2702,65%,410
2,OYO Hotel Airport Metro Near Chhatrapati Shivaji International Airport,"Andheri East, Mumbai",2289,64%,879
3,Collection O Hotel Kiwi International Near Chhatrapati Shivaji International Airport,"Andheri East, Mumbai",2094,66%,75
4,OYO Druv's Taj Palace Near Chhatrapati Shivaji International Airport,"Near Asalpha Metro Station, Dhumai Estate, Mumbai",2656,65%,686
5,Collection O Collection O Hotel Jayshree Domestic Airport,"Vile Parle East, Mumbai",3127,65%,588
6,OYO Hotel Blue Executive Near Chhatrapati Shivaji International Airport,"On main street, Near Saki Vihar complex, Sakinaka,Mumbai",2772,65%,1875
7,OYO Blue Pearl Residency Near Chhatrapati Shivaji International Airport,"On main street, Near Asalpha Metro Station, Ghatkopar, Mumbai",1921,65%,995
8,OYO Hotel Blue Sapphire Residency Near Chhatrapati Shivaji International Airport,"Near The Crescent Business Park, Sakinaka, Mumbai",2220,65%,1144
9,OYO Hotel Blue Sea Near Chhatrapati Shivaji International Airport,"On main street, Near Asalpha Metro Station, Ghatkopar, Mumbai",1921,65%,2051
10,Super OYO Hotel Divine Residency Near Phoenix Marketcity,"Near Chirag Nagar Police Station, LBS Marg, Mumbai",4069,65%,644
11,Capital O Hotel Adore Palace,"Sakinaka Jharimari Link Road, Mumbai",2092,66%,34
12,OYO Hotel Greenforest Near Airport Road Metro Station,"Near Axis Bank, Customs Colony, Mumbai",2247,67%,664
13,Capital O Hotel Pearl Near US Embassy,"Near Wajan Kata Bus Stop, Indira Nagar, Mumbai",2896,65%,119
14,OYO Anjali Hotel Mumbai,"Near Kanti Nagar, Andheri East, Mumbai",2535,67%,477
15,OYO Rana Residency Near Western Express Highway Metro Station,"Tolany Naka, Sher-e-Punjab Colony, Mumbai",1916,67%,589
16,Flagship The Mumbai Inn Near Chhatrapati Shivaji International Airport,"The Mumbai Inn 90 Feet Road Next To Peninsula Near Tilak Nagar Gate Sakinaka Mumbai, Mumbai",1863,67%,470
17,OYO Royal Inn Near Versova Beach,"Near Jankidevi Public School Road, Varsova, Mumbai",2740,67%,465
18,Capital O Hotel Zaid International NEAR L&T Sakinaka & IIT POWAI,"Near Huntsman Building, Marol, Mumbai",3273,65%,711
